EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,EducationField,Education,BusinessTravel,MonthlyIncome,HourlyRate,DailyRate,MonthlyRate,PercentSalaryHike,StockOptionLevel,JobLevel,JobInvolvement,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,PerformanceRating,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TotalWorkingYears,TrainingTimesLastYear,NumCompaniesWorked,OverTime,DistanceFromHome,StandardHours,EmployeeCount,Over18,DateOfJoining,Attrition
EMP0425,50,Male,Divorced,Research & Development,Lab Technician,Other,2,Travel_Frequently,42302,59,999,16905,17,2,5,3,4,3,1,1,1,5,4,10,10,15,5,3,Yes,15,80,1,Y,16-12-2018,No
EMP0426,46,Male,Married,Finance,CFO,Other,4,Travel_Frequently,87534,91,1005,2974,16,2,4,1,2,2,1,1,3,34,10,13,3,31,4,5,No,23,80,1,Y,04-02-1989,No
EMP0427,54,Male,Divorced,Human Resources,HR Director,Marketing,2,Travel_Rarely,28440,102,1059,14679,24,2,5,3,1,1,1,4,3,21,0,5,4,37,3,6,Yes,28,80,1,Y,08-07-2002,No
EMP0428,53,Male,Married,Finance,Finance Manager,Marketing,1,Non-Travel,126001,74,414,20073,12,0,5,1,2,2,3,1,4,4,9,3,16,8,4,3,No,1,80,1,Y,20-07-2019,Yes
EMP0429,56,Female,Single,Operations,Operations Analyst,Technical Degree,4,Travel_Rarely,61501,64,852,6671,19,3,2,1,3,4,2,2,2,22,10,4,4,37,4,7,Yes,12,80,1,Y,08-05-2001,No
EMP0430,59,Male,Single,Marketing,Brand Manager,Other,2,Travel_Frequently,147341,111,796,25304,23,3,5,2,3,3,4,3,3,16,14,10,16,4,0,4,Yes,14,80,1,Y,11-05-2007,No
EMP0431,47,Female,Married,Marketing,Content Writer,Human Resources,5,Non-Travel,22868,71,327,25160,22,2,4,2,1,3,3,4,1,11,2,6,2,0,4,2,Yes,18,80,1,Y,02-04-2012,Yes
EMP0432,32,Male,Married,Operations,Operations Manager,Medical,5,Travel_Frequently,92909,34,1492,15599,15,1,1,4,2,1,1,2,1,22,14,13,10,34,2,1,Yes,21,80,1,Y,20-08-2001,No
EMP0433,56,Female,Married,Human Resources,HR Director,Life Sciences,2,Travel_Rarely,99523,56,750,14810,12,3,1,2,1,2,1,1,3,15,10,7,16,34,0,0,No,24,80,1,Y,30-03-2008,No
EMP0434,29,Female,Married,Research & Development,Research Scientist,Life Sciences,4,Travel_Frequently,30734,99,818,10917,13,2,4,1,1,3,4,2,1,2,8,4,7,11,2,3,Yes,28,80,1,Y,19-05-2021,No
EMP0435,35,Female,Divorced,Sales,Account Manager,Human Resources,4,Travel_Frequently,98600,91,547,10353,17,3,2,2,4,2,4,3,1,29,1,1,7,35,4,1,No,23,80,1,Y,31-10-1994,No
EMP0436,31,Male,Single,Human Resources,HR Manager,Marketing,1,Travel_Frequently,23433,61,341,9784,17,2,3,2,3,4,3,2,3,21,11,5,1,20,3,2,No,3,80,1,Y,14-01-2002,Yes
EMP0437,23,Male,Divorced,Sales,Sales Manager,Marketing,1,Non-Travel,118986,37,1368,16225,20,3,2,2,1,4,1,1,1,8,15,8,6,7,5,0,Yes,29,80,1,Y,02-04-2015,Yes
EMP0438,30,Male,Married,Operations,Logistics Executive,Marketing,3,Travel_Frequently,78753,149,991,2658,11,3,4,1,3,1,4,3,1,28,15,2,5,26,4,5,Yes,26,80,1,Y,10-10-1995,No
EMP0439,24,Female,Divorced,IT,Data Engineer,Other,1,Non-Travel,128783,132,444,4897,20,1,5,1,4,3,3,1,3,22,0,6,6,8,2,3,Yes,25,80,1,Y,10-03-2001,No
EMP0440,42,Male,Divorced,Sales,Account Manager,Marketing,4,Travel_Rarely,36751,114,902,24052,24,1,1,4,2,3,4,1,4,12,15,7,11,27,1,4,Yes,12,80,1,Y,05-03-2011,No
EMP0441,47,Male,Single,Research & Development,Data Analyst,Marketing,3,Travel_Rarely,63570,47,1335,24609,21,3,5,2,1,2,1,4,2,31,5,5,6,29,1,7,No,29,80,1,Y,20-05-1992,No
EMP0442,29,Male,Divorced,IT,Data Engineer,Other,1,Travel_Frequently,39503,107,413,14291,21,2,2,2,3,4,1,3,2,22,13,11,6,13,3,3,No,5,80,1,Y,17-02-2001,No
EMP0443,23,Male,Single,Sales,Account Manager,Other,2,Non-Travel,148851,44,399,20926,22,1,4,1,1,3,1,3,4,16,10,2,0,22,6,5,Yes,3,80,1,Y,14-02-2007,No
EMP0444,27,Female,Married,Operations,Logistics Executive,Human Resources,5,Travel_Rarely,101840,135,604,15572,14,0,1,4,2,1,1,1,3,20,0,0,9,28,5,2,No,7,80,1,Y,24-03-2003,No
EMP0445,49,Female,Divorced,IT,IT Manager,Technical Degree,1,Non-Travel,146827,55,620,5205,16,1,4,4,1,1,2,2,4,1,16,2,9,25,2,7,Yes,16,80,1,Y,24-05-2022,No
EMP0446,50,Male,Married,Operations,Operations Manager,Other,1,Non-Travel,54263,82,206,6044,18,3,1,1,1,3,2,3,2,5,1,10,11,21,3,2,No,20,80,1,Y,09-04-2018,No
EMP0447,47,Male,Single,Sales,Sales Executive,Medical,2,Travel_Frequently,123491,73,791,5433,13,3,1,2,3,1,2,2,2,17,13,5,2,14,0,6,Yes,17,80,1,Y,12-02-2006,No
EMP0448,46,Male,Married,Operations,Operations Analyst,Marketing,4,Travel_Frequently,70087,61,485,8711,24,0,1,4,2,3,3,2,2,29,7,10,2,8,4,6,No,21,80,1,Y,15-02-1994,No
EMP0449,33,Female,Married,Research & Development,R&D Manager,Technical Degree,2,Non-Travel,66482,132,870,9384,13,1,2,4,4,3,3,3,2,21,5,3,12,25,6,2,Yes,27,80,1,Y,08-04-2002,No
EMP0450,26,Male,Single,Sales,Sales Executive,Life Sciences,1,Non-Travel,137989,57,588,19261,18,3,4,2,2,3,4,2,3,32,8,0,12,16,0,2,Yes,8,80,1,Y,04-08-1991,No
EMP0451,55,Female,Married,Sales,Sales Director,Human Resources,4,Travel_Frequently,55115,68,615,19475,18,0,3,4,2,3,4,3,2,29,4,5,5,8,1,9,Yes,15,80,1,Y,15-07-1994,No
EMP0452,58,Female,Married,Sales,Sales Manager,Technical Degree,3,Non-Travel,29249,136,983,5059,18,0,3,2,4,2,3,4,2,16,4,0,2,2,4,9,Yes,28,80,1,Y,04-05-2007,No
EMP0453,36,Male,Married,Human Resources,HR Director,Other,1,Travel_Frequently,125361,61,1206,25391,11,2,3,4,1,3,4,3,3,31,17,11,14,15,0,7,No,20,80,1,Y,07-04-1992,No
EMP0454,57,Male,Divorced,Human Resources,HR Manager,Marketing,2,Non-Travel,39600,106,1373,17915,18,1,4,4,3,1,3,3,4,13,13,7,8,12,1,2,Yes,15,80,1,Y,10-09-2010,No
EMP0455,36,Male,Married,Human Resources,Recruiter,Marketing,3,Travel_Frequently,52706,108,1214,23646,18,1,5,1,1,4,2,3,3,9,11,2,5,25,5,1,Yes,23,80,1,Y,19-11-2014,No
EMP0456,44,Female,Single,Research & Development,Data Analyst,Marketing,5,Non-Travel,34222,47,627,9513,12,1,4,4,1,2,3,4,2,33,11,2,5,16,0,4,No,8,80,1,Y,28-05-1990,No
EMP0457,27,Female,Divorced,IT,Software Engineer,Technical Degree,3,Travel_Frequently,114041,132,1204,15865,22,3,1,2,4,4,3,2,1,8,5,13,7,31,4,6,No,25,80,1,Y,30-07-2015,No
EMP0458,42,Male,Divorced,Operations,Operations Manager,Marketing,2,Non-Travel,119504,99,533,3674,19,0,5,4,4,4,4,4,3,27,3,0,10,23,0,7,Yes,11,80,1,Y,04-07-1996,No
EMP0459,44,Female,Single,Marketing,Brand Manager,Other,3,Travel_Rarely,56139,148,471,11800,17,2,1,1,1,4,4,2,3,10,14,2,15,35,6,0,No,25,80,1,Y,06-06-2013,No
EMP0460,37,Male,Married,Sales,Sales Director,Technical Degree,2,Travel_Rarely,129919,40,1266,21210,18,1,1,4,2,4,3,3,4,13,14,6,8,21,6,1,No,21,80,1,Y,24-08-2010,No
EMP0461,36,Male,Divorced,Operations,Operations Manager,Marketing,1,Non-Travel,56302,61,518,21436,12,2,4,3,3,4,1,3,2,18,16,9,10,8,4,6,Yes,22,80,1,Y,18-10-2005,Yes
EMP0462,46,Female,Divorced,Sales,Account Manager,Life Sciences,4,Travel_Rarely,102838,133,726,15978,14,2,3,2,2,1,4,4,1,14,2,7,15,21,0,8,Yes,23,80,1,Y,02-08-2009,No
EMP0463,57,Female,Divorced,Research & Development,Lab Technician,Life Sciences,5,Non-Travel,93353,49,959,18697,17,0,5,3,1,3,3,4,3,27,9,10,5,19,3,2,Yes,10,80,1,Y,02-01-1997,No
EMP0464,32,Female,Married,Sales,Account Manager,Medical,4,Non-Travel,103992,126,1395,18767,16,1,2,1,1,1,4,4,3,23,7,14,16,2,5,7,Yes,18,80,1,Y,06-01-2001,No
EMP0465,36,Female,Divorced,Human Resources,HR Executive,Marketing,4,Travel_Rarely,66428,69,520,7884,17,2,3,3,3,2,1,4,3,7,8,7,15,35,0,9,Yes,9,80,1,Y,10-04-2016,No
EMP0466,25,Male,Single,Marketing,Marketing Manager,Marketing,4,Non-Travel,38777,37,938,20196,11,1,2,4,2,1,4,3,1,8,2,2,0,32,0,2,No,16,80,1,Y,26-10-2015,Yes
EMP0467,42,Male,Married,Finance,Accountant,Technical Degree,2,Travel_Frequently,72939,144,1267,20708,18,1,4,2,1,2,3,3,3,32,0,4,7,17,6,3,No,1,80,1,Y,17-07-1991,No
EMP0468,34,Male,Single,Sales,Sales Executive,Technical Degree,2,Non-Travel,101450,64,653,15383,23,1,5,3,1,3,3,1,3,32,10,0,9,35,6,1,Yes,22,80,1,Y,16-08-1991,No
EMP0469,43,Female,Single,Operations,Logistics Executive,Marketing,5,Non-Travel,38548,98,945,7248,17,2,4,4,4,4,1,4,1,18,12,8,1,9,3,8,Yes,6,80,1,Y,10-05-2005,No
EMP0470,40,Male,Divorced,Human Resources,HR Director,Medical,2,Travel_Rarely,140549,128,1128,5429,23,0,2,3,3,3,3,4,3,2,11,14,8,35,6,4,Yes,23,80,1,Y,03-04-2021,Yes
EMP0471,55,Female,Divorced,Finance,Accountant,Marketing,2,Travel_Frequently,46625,140,1047,21675,14,0,1,4,4,1,1,2,1,9,6,7,3,20,1,4,Yes,2,80,1,Y,30-12-2014,No
EMP0472,35,Female,Divorced,Marketing,Marketing Executive,Other,2,Non-Travel,39918,107,1067,25557,11,2,4,4,4,1,3,2,4,0,1,9,10,24,4,3,No,13,80,1,Y,14-01-2023,No
EMP0473,25,Female,Single,Finance,CFO,Technical Degree,2,Non-Travel,129826,50,973,23230,18,3,5,3,4,3,3,3,1,28,0,1,9,39,2,4,No,22,80,1,Y,02-05-1995,No
EMP0474,48,Male,Married,Human Resources,HR Executive,Marketing,1,Non-Travel,129881,140,282,25151,20,1,4,1,1,3,4,1,4,33,2,9,13,8,1,0,Yes,6,80,1,Y,10-05-1990,No
EMP0475,50,Female,Divorced,IT,IT Manager,Technical Degree,5,Non-Travel,30577,53,742,18611,17,1,3,2,2,1,4,4,1,12,3,0,6,26,4,9,No,9,80,1,Y,04-08-2011,No
EMP0476,49,Female,Divorced,IT,IT Manager,Marketing,2,Non-Travel,100155,46,521,24457,18,0,4,1,4,3,1,1,2,0,16,12,5,14,0,9,No,14,80,1,Y,28-12-2023,No
EMP0477,56,Female,Single,Finance,Accountant,Human Resources,5,Non-Travel,126776,47,985,12256,20,2,2,3,2,2,4,1,3,33,17,12,15,31,1,5,Yes,24,80,1,Y,03-06-1990,No
EMP0478,29,Female,Married,Research & Development,Data Analyst,Technical Degree,3,Travel_Frequently,114246,127,1457,24088,11,2,4,4,1,2,2,3,4,28,16,3,12,38,0,3,Yes,21,80,1,Y,12-08-1995,No
EMP0479,37,Female,Single,Operations,Operations Analyst,Medical,1,Travel_Frequently,109948,41,739,10203,15,3,5,3,4,1,1,1,3,12,3,8,11,15,1,3,No,7,80,1,Y,05-03-2011,No
EMP0480,57,Female,Divorced,Operations,Operations Analyst,Human Resources,2,Non-Travel,36341,45,451,9765,19,3,4,4,1,1,2,4,3,28,16,11,14,27,1,4,No,23,80,1,Y,12-09-1995,No
EMP0481,51,Female,Single,Finance,Finance Manager,Other,1,Non-Travel,112554,33,1035,3522,15,0,4,4,4,3,1,3,1,23,1,7,7,5,2,0,No,5,80,1,Y,03-01-2001,No
EMP0482,39,Female,Divorced,Sales,Sales Manager,Marketing,1,Travel_Rarely,122798,118,648,2691,23,3,5,1,4,3,2,1,2,25,9,2,3,5,3,3,No,7,80,1,Y,02-04-1998,Yes
EMP0483,23,Female,Married,Sales,Sales Executive,Other,3,Travel_Frequently,61330,63,1462,3739,24,3,4,1,1,4,4,3,1,16,11,9,7,37,1,9,Yes,3,80,1,Y,28-06-2007,No
EMP0484,34,Female,Single,Operations,Supply Chain Manager,Technical Degree,5,Travel_Frequently,102759,121,689,3525,24,2,5,3,3,2,4,3,3,6,12,11,15,1,6,2,No,23,80,1,Y,28-09-2017,No
EMP0485,25,Female,Divorced,Operations,Supply Chain Manager,Human Resources,1,Non-Travel,101807,75,663,18453,20,2,2,2,3,1,3,2,1,12,10,5,15,39,0,4,Yes,13,80,1,Y,08-06-2011,No
EMP0486,47,Female,Divorced,IT,IT Manager,Other,4,Travel_Frequently,48313,104,513,8251,22,3,5,1,2,1,2,3,4,4,7,11,1,6,2,9,No,22,80,1,Y,21-03-2019,No
EMP0487,46,Male,Divorced,Research & Development,R&D Manager,Medical,3,Travel_Frequently,61900,106,1398,12440,13,0,2,4,2,1,3,1,2,25,4,8,16,26,1,4,No,12,80,1,Y,29-05-1998,No
EMP0488,51,Male,Divorced,Human Resources,HR Director,Technical Degree,4,Travel_Rarely,93840,60,1403,21507,19,3,2,3,1,1,1,2,3,2,1,9,4,27,6,7,Yes,6,80,1,Y,13-06-2021,No
EMP0489,32,Female,Single,Sales,Sales Director,Human Resources,3,Travel_Rarely,101072,54,584,15860,23,0,5,3,1,4,2,4,1,6,11,7,4,15,3,0,Yes,2,80,1,Y,28-08-2017,No
EMP0490,28,Female,Divorced,Operations,Supply Chain Manager,Other,4,Travel_Frequently,111367,132,494,23108,19,3,4,2,1,2,3,4,4,0,1,9,11,8,0,2,No,15,80,1,Y,10-10-2023,No
EMP0491,52,Female,Single,IT,Software Engineer,Human Resources,4,Travel_Frequently,64156,103,1438,9649,14,2,3,3,3,4,1,4,2,16,5,4,6,14,2,4,No,15,80,1,Y,09-02-2007,No
EMP0492,31,Male,Divorced,Marketing,Marketing Manager,Human Resources,1,Travel_Frequently,102453,53,1185,3287,14,2,5,1,3,2,2,4,1,24,11,11,4,33,4,2,Yes,18,80,1,Y,22-06-1999,No
EMP0493,34,Male,Single,IT,Data Engineer,Other,1,Non-Travel,40938,94,961,15193,21,0,4,4,4,1,3,4,1,2,12,12,3,19,5,5,No,23,80,1,Y,22-06-2021,No
EMP0494,52,Male,Single,Sales,Sales Executive,Life Sciences,3,Travel_Rarely,74164,146,968,10767,18,3,2,3,4,2,2,1,3,14,16,11,16,13,3,9,Yes,17,80,1,Y,14-09-2009,Yes
EMP0495,28,Female,Divorced,Sales,Sales Director,Marketing,5,Non-Travel,75282,54,1298,17913,17,3,1,3,1,1,2,3,4,28,11,8,5,10,6,2,Yes,25,80,1,Y,27-08-1995,No
EMP0496,57,Female,Divorced,IT,IT Manager,Technical Degree,1,Travel_Rarely,62801,57,543,17629,21,0,3,4,1,4,3,2,2,31,2,8,13,29,4,5,No,3,80,1,Y,29-11-1992,No
EMP0497,41,Female,Divorced,Human Resources,HR Manager,Technical Degree,1,Travel_Rarely,18326,65,341,6954,15,3,4,3,2,2,4,3,1,25,7,2,8,2,4,7,No,22,80,1,Y,05-06-1998,No
EMP0498,25,Female,Divorced,Finance,Finance Manager,Technical Degree,2,Travel_Rarely,149731,111,917,2744,16,1,3,3,3,3,4,3,2,15,15,11,3,1,2,3,Yes,3,80,1,Y,19-02-2008,Yes
EMP0499,28,Male,Married,Sales,Sales Manager,Human Resources,1,Travel_Frequently,130819,35,1422,12719,13,2,1,2,1,2,3,1,4,24,3,7,10,13,2,7,Yes,28,80,1,Y,07-09-1999,No
EMP0500,22,Female,Divorced,IT,System Admin,Other,5,Travel_Rarely,19763,95,1394,24659,24,2,1,1,3,1,1,1,3,27,12,3,15,28,2,6,Yes,9,80,1,Y,18-04-1996,Yes
EMP0501,34,Male,Divorced,Operations,Operations Analyst,Marketing,2,Non-Travel,62588,96,605,14402,16,0,1,3,1,3,3,1,3,8,7,9,15,4,6,3,Yes,10,80,1,Y,24-02-2015,No
EMP0502,43,Male,Divorced,IT,Data Engineer,Medical,4,Travel_Rarely,26221,139,427,6576,23,3,5,1,4,1,3,2,3,0,0,6,15,5,6,2,Yes,12,80,1,Y,11-01-2023,Yes
EMP0503,42,Female,Single,Research & Development,Data Analyst,Technical Degree,4,Non-Travel,28569,101,610,23460,18,0,3,2,1,3,2,1,2,28,2,9,5,7,4,4,Yes,23,80,1,Y,23-01-1995,No
EMP0504,43,Male,Divorced,Finance,Finance Manager,Other,2,Travel_Rarely,52860,124,1151,11216,20,1,5,1,4,3,4,3,2,21,0,7,14,38,5,4,No,1,80,1,Y,20-08-2002,No
EMP0505,49,Male,Single,Marketing,Brand Manager,Marketing,2,Travel_Rarely,60337,77,1097,18363,24,3,1,2,2,2,4,2,1,15,14,6,2,38,0,6,No,4,80,1,Y,12-08-2008,Yes
EMP0506,30,Male,Single,Human Resources,Recruiter,Marketing,2,Travel_Frequently,86695,112,890,19325,23,1,4,1,2,2,4,1,4,6,17,4,8,28,2,0,Yes,21,80,1,Y,04-02-2017,No
EMP0507,47,Male,Single,Marketing,Content Writer,Life Sciences,3,Non-Travel,121749,143,1077,7050,21,0,1,1,2,3,4,1,4,13,2,10,0,38,3,8,No,23,80,1,Y,07-04-2010,Yes
EMP0508,30,Female,Single,Finance,CFO,Other,5,Travel_Rarely,58790,99,986,15948,19,2,5,3,1,3,3,1,4,28,14,0,10,26,2,1,Yes,23,80,1,Y,24-08-1995,No
EMP0509,36,Female,Married,Finance,Finance Analyst,Technical Degree,5,Travel_Rarely,83580,107,261,19151,13,1,1,1,2,3,2,3,2,18,4,11,5,15,5,8,Yes,5,80,1,Y,08-06-2005,Yes
EMP0510,31,Male,Divorced,Finance,Finance Analyst,Human Resources,4,Non-Travel,20636,96,1078,4438,18,3,1,3,1,1,4,1,3,18,9,7,4,26,2,8,Yes,28,80,1,Y,01-10-2005,No
EMP0511,45,Female,Single,Marketing,Content Writer,Marketing,4,Travel_Rarely,92129,77,1356,12382,22,0,5,3,3,2,4,3,4,1,6,4,11,38,5,2,No,17,80,1,Y,27-11-2022,Yes
EMP0512,29,Male,Divorced,Operations,Supply Chain Manager,Marketing,4,Travel_Frequently,148964,94,1412,16663,13,0,5,1,4,1,2,2,1,14,7,2,6,39,2,6,No,21,80,1,Y,03-10-2009,No
EMP0513,45,Female,Single,Finance,Accountant,Medical,1,Non-Travel,36672,73,555,16069,12,0,4,3,3,2,3,1,2,2,2,1,1,0,4,2,Yes,5,80,1,Y,24-10-2021,No
EMP0514,37,Female,Married,IT,Data Engineer,Life Sciences,4,Travel_Frequently,20812,123,270,10819,15,2,5,1,1,4,3,4,3,10,17,2,6,32,5,7,Yes,4,80,1,Y,08-08-2013,No
EMP0515,47,Female,Single,Marketing,Content Writer,Marketing,2,Non-Travel,15654,92,462,18760,24,0,4,4,2,1,3,4,4,29,16,12,8,38,0,7,No,29,80,1,Y,13-11-1994,No
EMP0516,48,Female,Divorced,Finance,Accountant,Marketing,4,Non-Travel,69633,75,505,14078,14,0,2,3,4,2,4,3,3,17,15,8,7,26,2,2,No,22,80,1,Y,13-02-2006,No
EMP0517,58,Female,Divorced,IT,Software Engineer,Human Resources,2,Non-Travel,32143,48,757,18473,23,2,2,4,2,3,4,1,1,1,12,1,8,16,4,4,Yes,15,80,1,Y,13-05-2022,No
EMP0518,25,Male,Married,Operations,Operations Manager,Human Resources,3,Travel_Rarely,70934,147,1447,13047,15,0,5,4,3,3,4,1,4,31,3,13,9,14,3,6,Yes,24,80,1,Y,27-02-1992,Yes
EMP0519,45,Female,Divorced,Research & Development,Data Analyst,Medical,1,Non-Travel,82334,93,961,11257,16,0,1,3,1,2,3,4,4,7,2,9,11,21,0,0,No,10,80,1,Y,16-05-2016,Yes
EMP0520,40,Male,Divorced,Operations,Supply Chain Manager,Other,1,Non-Travel,118463,112,787,24450,13,1,3,2,4,3,4,2,3,21,10,0,1,18,4,2,No,5,80,1,Y,20-08-2002,No
EMP0521,57,Male,Single,Finance,Finance Analyst,Medical,5,Non-Travel,140851,102,273,15805,11,0,1,2,4,3,1,2,2,5,1,14,9,27,5,0,Yes,14,80,1,Y,09-01-2018,No
EMP0522,31,Female,Divorced,Marketing,Content Writer,Medical,3,Travel_Frequently,44087,100,341,18212,14,2,5,4,1,4,2,3,3,11,17,1,2,22,1,1,Yes,24,80,1,Y,20-02-2012,No
EMP0523,46,Male,Single,Sales,Sales Manager,Human Resources,2,Non-Travel,23446,139,301,12296,16,1,4,4,1,4,1,4,1,14,3,12,0,35,3,6,Yes,28,80,1,Y,28-04-2009,No
EMP0524,39,Female,Married,Finance,CFO,Other,3,Travel_Rarely,117127,130,1288,23959,12,0,1,1,4,4,1,3,3,27,16,14,16,38,3,6,Yes,21,80,1,Y,03-10-1996,No
EMP0525,40,Male,Divorced,Sales,Sales Manager,Human Resources,1,Non-Travel,63867,79,392,16570,12,2,2,4,3,1,4,3,3,17,5,1,0,19,1,2,Yes,13,80,1,Y,25-07-2006,No
EMP0526,57,Male,Single,IT,Data Engineer,Life Sciences,2,Non-Travel,75101,92,1152,4655,11,3,5,3,3,4,2,2,4,1,9,11,4,8,4,5,Yes,19,80,1,Y,23-12-2022,No
EMP0527,31,Female,Divorced,Research & Development,R&D Manager,Technical Degree,3,Travel_Frequently,103074,70,1285,16727,19,0,1,2,2,4,1,4,2,12,10,10,13,22,4,5,No,8,80,1,Y,19-10-2011,No
EMP0528,54,Female,Single,Human Resources,HR Director,Technical Degree,1,Travel_Rarely,133422,146,1464,19899,13,3,1,2,4,4,3,3,2,14,4,14,5,6,6,1,No,12,80,1,Y,10-12-2009,No
EMP0529,26,Female,Married,Operations,Supply Chain Manager,Life Sciences,2,Travel_Rarely,102892,36,609,5017,12,1,4,2,1,2,3,2,2,19,17,4,8,30,5,8,No,20,80,1,Y,07-04-2004,Yes
EMP0530,56,Female,Single,Research & Development,R&D Manager,Technical Degree,2,Travel_Rarely,135044,38,499,16142,14,2,4,3,1,3,3,2,2,28,9,0,13,10,3,7,Yes,19,80,1,Y,28-12-1995,No
EMP0531,55,Male,Divorced,Finance,Finance Manager,Other,1,Non-Travel,54148,33,1418,26195,16,1,4,1,1,2,3,1,3,28,8,12,3,39,6,1,Yes,19,80,1,Y,05-10-1995,Yes
EMP0532,54,Female,Single,Sales,Account Manager,Human Resources,2,Non-Travel,97928,118,653,9343,11,3,3,3,1,4,2,4,4,2,15,11,0,16,4,3,No,6,80,1,Y,10-11-2021,No
EMP0533,42,Male,Divorced,Operations,Supply Chain Manager,Technical Degree,1,Travel_Rarely,66660,78,773,14339,19,3,5,3,4,1,3,4,4,18,9,14,5,35,1,8,No,8,80,1,Y,14-08-2005,No
EMP0534,38,Male,Married,Sales,Sales Executive,Other,4,Travel_Rarely,50450,105,818,3573,19,3,5,2,3,2,2,1,2,2,9,9,6,25,6,3,Yes,10,80,1,Y,17-08-2021,No
EMP0535,43,Male,Single,Marketing,Marketing Executive,Human Resources,4,Travel_Frequently,48757,35,836,7597,18,2,2,3,2,4,2,3,3,13,3,7,5,35,4,6,No,21,80,1,Y,01-11-2010,No
EMP0536,58,Male,Divorced,Sales,Sales Executive,Other,2,Travel_Rarely,93012,111,500,5926,16,3,2,4,3,1,2,2,2,3,13,1,0,17,3,4,No,17,80,1,Y,22-05-2020,No
EMP0537,36,Male,Divorced,Marketing,Content Writer,Life Sciences,2,Non-Travel,121750,133,978,12244,14,3,5,3,2,1,2,2,2,10,7,5,7,30,4,9,Yes,1,80,1,Y,30-12-2013,No
EMP0538,56,Male,Divorced,IT,Software Engineer,Medical,1,Non-Travel,142043,50,1188,5796,12,2,1,2,1,1,4,2,4,30,0,4,11,34,0,5,No,19,80,1,Y,11-09-1993,No
EMP0539,49,Female,Single,Operations,Operations Manager,Life Sciences,2,Non-Travel,71116,44,401,10823,18,3,5,2,1,3,1,1,4,31,15,1,10,27,1,0,No,12,80,1,Y,23-11-1992,No
EMP0540,28,Male,Single,Operations,Operations Analyst,Technical Degree,5,Travel_Frequently,47152,96,873,12053,17,0,3,3,4,1,4,2,2,26,16,9,1,25,1,3,No,28,80,1,Y,22-10-1997,Yes
EMP0541,53,Male,Single,Human Resources,Recruiter,Human Resources,4,Travel_Rarely,121379,95,501,19616,22,3,2,4,1,4,1,3,3,29,9,11,1,5,2,4,Yes,22,80,1,Y,01-01-1995,No
EMP0542,32,Male,Married,Finance,CFO,Other,2,Non-Travel,35836,85,536,20648,24,2,2,4,4,2,4,3,2,1,5,0,1,33,4,5,Yes,2,80,1,Y,24-04-2022,No
EMP0543,31,Female,Divorced,Marketing,Marketing Executive,Technical Degree,2,Travel_Frequently,84444,148,231,20431,14,3,2,2,4,2,3,1,4,8,6,5,7,27,5,5,No,17,80,1,Y,14-09-2015,Yes
EMP0544,30,Female,Divorced,Human Resources,Recruiter,Technical Degree,3,Travel_Frequently,108109,134,1321,2535,13,2,5,4,4,4,2,3,4,27,17,13,6,8,1,4,No,7,80,1,Y,16-07-1996,Yes
EMP0545,35,Male,Married,Sales,Sales Manager,Medical,2,Non-Travel,97018,133,972,17701,16,3,2,4,1,3,3,4,3,30,1,5,15,28,4,2,Yes,14,80,1,Y,07-06-1993,No
EMP0546,34,Female,Married,Sales,Sales Manager,Technical Degree,5,Travel_Frequently,138076,97,1414,9884,11,0,2,1,1,3,3,4,2,33,8,14,8,33,0,1,Yes,14,80,1,Y,03-08-1990,No
EMP0547,46,Male,Single,Human Resources,HR Director,Medical,4,Travel_Frequently,146949,61,1271,13725,12,2,5,1,3,1,3,2,2,14,4,2,15,11,6,6,Yes,12,80,1,Y,24-04-2009,No
EMP0548,23,Female,Single,Operations,Operations Analyst,Human Resources,3,Non-Travel,98788,95,1473,8881,17,2,1,4,2,4,4,2,1,24,7,12,1,15,3,0,Yes,16,80,1,Y,01-07-1999,No
EMP0549,56,Male,Single,Sales,Sales Director,Human Resources,1,Travel_Frequently,111870,139,1449,15017,21,2,2,4,3,1,3,4,2,7,4,7,2,6,3,4,Yes,18,80,1,Y,10-05-2016,No
EMP0550,28,Female,Single,IT,Software Engineer,Other,1,Non-Travel,98308,58,1495,25762,13,2,2,1,1,1,2,3,3,8,14,8,1,30,2,3,No,8,80,1,Y,12-01-2015,Yes
EMP0551,42,Female,Single,IT,System Admin,Medical,4,Non-Travel,72913,95,864,21481,24,3,2,1,2,4,2,1,4,31,7,2,16,32,2,6,Yes,2,80,1,Y,23-12-1992,No
EMP0552,39,Female,Single,Human Resources,HR Director,Life Sciences,1,Travel_Frequently,17637,63,527,11467,23,3,3,1,4,3,1,2,1,16,4,8,11,6,5,1,No,11,80,1,Y,20-07-2007,No
EMP0553,24,Male,Married,Marketing,Marketing Executive,Human Resources,5,Non-Travel,57025,56,996,5073,11,0,5,2,2,3,4,2,3,34,4,7,10,2,1,7,No,1,80,1,Y,29-11-1989,Yes
EMP0554,32,Male,Married,Marketing,Brand Manager,Other,2,Non-Travel,114508,89,1403,17963,12,0,2,2,4,2,2,4,3,18,16,4,5,19,5,8,Yes,10,80,1,Y,23-10-2005,No
